Code,Name,IndexSED,DecileSED,IndexSEAD,DecileSEAD,IndexER,DecileER,IndexEO,DecileEO,Population
16400,Port Stephens (A),980,6,959,6,1001,7,939,4,69556
16490,Queanbeyan-Palerang Regional (A),1053,10,1057,9,1059,10,1045,9,56027
16550,Randwick (C),1052,10,1096,10,984,6,1119,10,140660
16610,Richmond Valley (A),902,2,885,2,947,3,878,1,22807
16650,Rockdale (C),1002,7,1023,9,974,5,1028,9,109404
16700,Ryde (C),1058,10,1088,10,1011,8,1107,10,116302
16900,Shellharbour (C),976,5,958,5,1004,7,927,3,68460
16950,Shoalhaven (C),964,5,944,4,982,5,950,5,99650
17000,Singleton (A),994,7,974,7,1026,9,921,3,22987
17040,Snowy Monaro Regional (A),1008,8,985,7,1004,7,988,8,20218
17080,Snowy Valleys (A),951,4,934,4,978,5,927,3,14395
17100,Strathfield (A),1026,9,1063,10,976,5,1082,10,40312
17150,Sutherland Shire (A),1080,10,1088,10,1084,10,1066,9,218464
17200,Sydney (C),1027,9,1095,10,883,1,1149,10,208374
17310,Tamworth Regional (A),962,5,947,5,979,5,944,5,59663
17350,Temora (A),964,5,943,4,987,6,946,5,6110
17400,Tenterfield (A),910,2,902,2,945,2,932,4,6628
17420,The Hills Shire (A),1107,10,1133,10,1136,10,1104,10,157243
17550,Tweed (A),973,5,956,5,985,6,959,6,91371
17620,Upper Hunter Shire (A),976,5,958,5,1005,7,931,3,14112
17640,Upper Lachlan Shire (A),998,7,987,7,1033,9,996,8,7695
17650,Uralla (A),983,6,966,6,1000,7,988,8,6048
17750,Wagga Wagga (C),995,7,978,7,990,6,977,7,62385
17850,Walcha (A),981,6,970,6,1003,7,990,8,3092
17900,Walgett (A),832,1,856,1,862,1,929,3,6107
17950,Warren (A),945,3,945,4,969,4,967,6,2732
18020,Warrumbungle Shire (A),913,2,912,2,948,3,948,5,9384
18050,Waverley (A),1091,10,1140,10,1014,8,1161,10,66812
18100,Weddin (A),956,4,948,5,994,7,976,7,3664
18200,Wentworth (A),957,4,943,4,976,5,951,5,6794
18230,Western Plains Regional (A),967,5,953,5,983,5,954,5,50077
18250,Willoughby (C),1083,10,1136,10,1039,9,1157,10,74302
18350,Wingecarribee (A),1034,9,1022,9,1046,10,1025,9,47882
18400,Wollondilly (A),1043,9,1030,9,1096,10,977,7,48519
18450,Wollongong (C),989,6,990,8,984,6,997,8,203630
18500,Woollahra (A),1115,10,1165,10,1056,10,1191,10,54240
18710,Yass Valley (A),1062,10,1062,10,1092,10,1055,9,16142
19399,Unincorporated NSW,1042,9,1028,9,1048,10,1033,9,1056
20110,Alpine (S),994,7,970,6,987,6,988,8,12337
20260,Ararat (RC),942,3,931,3,961,3,946,5,11600
20570,Ballarat (C),980,6,965,6,962,4,986,8,101686
20660,Banyule (C),1055,10,1055,9,1026,9,1073,9,121865
20740,Bass Coast (S),967,5,945,4,972,4,961,6,32804
20830,Baw Baw (S),997,7,976,7,1011,8,972,7,48479
20910,Bayside (C),1097,10,1125,10,1078,10,1144,10,97087
21010,Benalla (RC),951,4,936,4,961,3,963,6,13861
21110,Boroondara (C),1097,10,1128,10,1054,10,1156,10,167231
21180,Brimbank (C),921,2,930,3,961,3,916,2,194319
